Date,Time in bed(hr)
2021-11-09,7.314
2021-11-10,6.612
2021-11-11,7.195
2021-11-12,4.364
2021-11-13,5.647
2021-11-14,6.973
2021-11-15,6.811
2021-11-16,5.982
2021-11-17,7.02
2021-11-18,4.149
2021-11-19,7.006
2021-11-20,4.853
2021-11-21,6.994
